cv_protocol,cohort_name,modality,device,task,feature_set,model,seed,feature_count,outer_fold,selected_params,selected_threshold,inner_cv_auroc,n_train_subjects,n_validation_subjects
standard_cv,eye_tobii_free_viewing_native,eye,tobii,free_viewing,signal_contrast_demographics,hist_gradient_boosting,20260909,49,4,"{""model__l2_regularization"": 0.1, ""model__learning_rate"": 0.05, ""model__max_iter"": 100, ""model__max_leaf_nodes"": 7}",0.55,0.45083406496927125,202,47
standard_cv,eye_tobii_saccade_native,eye,tobii,saccade,signal_absolute_demographics,logistic_regression,20260909,27,0,"{""model__C"": 1.0, ""model__penalty"": ""l2"", ""model__solver"": ""liblinear""}",0.2,0.5847376023110255,196,57
standard_cv,eye_tobii_saccade_native,eye,tobii,saccade,signal_absolute_demographics,logistic_regression,20260909,27,1,"{""model__C"": 1.0, ""model__penalty"": ""l1"", ""model__solver"": ""liblinear""}",0.6,0.560312732688012,215,38
standard_cv,eye_tobii_saccade_native,eye,tobii,saccade,signal_absolute_demographics,logistic_regression,20260909,27,2,"{""model__C"": 1.0, ""model__penalty"": ""l1"", ""model__solver"": ""liblinear""}",0.55,0.536655592469546,199,54
standard_cv,eye_tobii_saccade_native,eye,tobii,saccade,signal_absolute_demographics,logistic_regression,20260909,27,3,"{""model__C"": 1.0, ""model__penalty"": ""l1"", ""model__solver"": ""liblinear""}",0.55,0.4847222222222222,199,54
standard_cv,eye_tobii_saccade_native,eye,tobii,saccade,signal_absolute_demographics,logistic_regression,20260909,27,4,"{""model__C"": 1.0, ""model__penalty"": ""l2"", ""model__solver"": ""liblinear""}",0.3,0.5128704304564136,203,50
standard_cv,eye_tobii_saccade_native,eye,tobii,saccade,signal_absolute_demographics,random_forest,20260909,27,0,"{""model__max_depth"": 8, ""model__max_features"": ""sqrt"", ""model__min_samples_leaf"": 8, ""model__n_estimators"": 160}",0.45,0.6092922484352431,196,57
standard_cv,eye_tobii_saccade_native,eye,tobii,saccade,signal_absolute_demographics,random_forest,20260909,27,1,"{""model__max_depth"": null, ""model__max_features"": ""sqrt"", ""model__min_samples_leaf"": 5, ""model__n_estimators"": 120}",0.45,0.6234177215189874,215,38
standard_cv,eye_tobii_saccade_native,eye,tobii,saccade,signal_absolute_demographics,random_forest,20260909,27,2,"{""model__max_depth"": 8, ""model__max_features"": ""sqrt"", ""model__min_samples_leaf"": 8, ""model__n_estimators"": 160}",0.5,0.6026578073089701,199,54
standard_cv,eye_tobii_saccade_native,eye,tobii,saccade,signal_absolute_demographics,random_forest,20260909,27,3,"{""model__max_depth"": 8, ""model__max_features"": ""sqrt"", ""model__min_samples_leaf"": 8, ""model__n_estimators"": 160}",0.45,0.556712962962963,199,54
standard_cv,eye_tobii_saccade_native,eye,tobii,saccade,signal_absolute_demographics,random_forest,20260909,27,4,"{""model__max_depth"": null, ""model__max_features"": ""sqrt"", ""model__min_samples_leaf"": 5, ""model__n_estimators"": 120}",0.45,0.4806402768764871,203,50
standard_cv,eye_tobii_saccade_native,eye,tobii,saccade,signal_absolute_demographics,hist_gradient_boosting,20260909,27,0,"{""model__l2_regularization"": 0.0, ""model__learning_rate"": 0.03, ""model__max_iter"": 100, ""model__max_leaf_nodes"": 15}",0.3,0.52696196437169,196,57
standard_cv,eye_tobii_saccade_native,eye,tobii,saccade,signal_absolute_demographics,hist_gradient_boosting,20260909,27,1,"{""model__l2_regularization"": 0.0, ""model__learning_rate"": 0.03, ""model__max_iter"": 100, ""model__max_leaf_nodes"": 15}",0.4,0.5778108711839165,215,38
standard_cv,eye_tobii_saccade_native,eye,tobii,saccade,signal_absolute_demographics,hist_gradient_boosting,20260909,27,2,"{""model__l2_regularization"": 0.0, ""model__learning_rate"": 0.05, ""model__max_iter"": 50, ""model__max_leaf_nodes"": 7}",0.4,0.5709856035437431,199,54
standard_cv,eye_tobii_saccade_native,eye,tobii,saccade,signal_absolute_demographics,hist_gradient_boosting,20260909,27,3,"{""model__l2_regularization"": 0.1, ""model__learning_rate"": 0.03, ""model__max_iter"": 50, ""model__max_leaf_nodes"": 15}",0.5,0.5641203703703703,199,54
standard_cv,eye_tobii_saccade_native,eye,tobii,saccade,signal_absolute_demographics,hist_gradient_boosting,20260909,27,4,"{""model__l2_regularization"": 0.0, ""model__learning_rate"": 0.05, ""model__max_iter"": 50, ""model__max_leaf_nodes"": 7}",0.55,0.49783690244430023,203,50
standard_cv,eye_tobii_smooth_pursuit_native,eye,tobii,smooth_pursuit,signal_contrast,logistic_regression,20260909,3,0,"{""model__C"": 0.3, ""model__penalty"": ""l1"", ""model__solver"": ""liblinear""}",0.45,0.4595094293109824,194,56
standard_cv,eye_tobii_smooth_pursuit_native,eye,tobii,smooth_pursuit,signal_contrast,logistic_regression,20260909,3,1,"{""model__C"": 1.0, ""model__penalty"": ""l2"", ""model__solver"": ""liblinear""}",0.65,0.4988664273568864,213,37
standard_cv,eye_tobii_smooth_pursuit_native,eye,tobii,smooth_pursuit,signal_contrast,logistic_regression,20260909,3,2,"{""model__C"": 1.0, ""model__penalty"": ""l2"", ""model__solver"": ""liblinear""}",0.35,0.46719160104986873,196,54
standard_cv,eye_tobii_smooth_pursuit_native,eye,tobii,smooth_pursuit,signal_contrast,logistic_regression,20260909,3,3,"{""model__C"": 1.0, ""model__penalty"": ""l2"", ""model__solver"": ""liblinear""}",0.55,0.599384032219853,197,53
standard_cv,eye_tobii_smooth_pursuit_native,eye,tobii,smooth_pursuit,signal_contrast,logistic_regression,20260909,3,4,"{""model__C"": 1.0, ""model__penalty"": ""l2"", ""model__solver"": ""liblinear""}",0.55,0.5408868092691622,200,50
standard_cv,eye_tobii_smooth_pursuit_native,eye,tobii,smooth_pursuit,signal_contrast,random_forest,20260909,3,0,"{""model__max_depth"": null, ""model__max_features"": ""sqrt"", ""model__min_samples_leaf"": 5, ""model__n_estimators"": 120}",0.4,0.5558979415752496,194,56
standard_cv,eye_tobii_smooth_pursuit_native,eye,tobii,smooth_pursuit,signal_contrast,random_forest,20260909,3,1,"{""model__max_depth"": null, ""model__max_features"": ""sqrt"", ""model__min_samples_leaf"": 5, ""model__n_estimators"": 120}",0.35,0.5324485169091253,213,37
standard_cv,eye_tobii_smooth_pursuit_native,eye,tobii,smooth_pursuit,signal_contrast,random_forest,20260909,3,2,"{""model__max_depth"": 12, ""model__max_features"": 0.5, ""model__min_samples_leaf"": 5, ""model__n_estimators"": 160}",0.5,0.4706721442428392,196,54
standard_cv,eye_tobii_smooth_pursuit_native,eye,tobii,smooth_pursuit,signal_contrast,random_forest,20260909,3,3,"{""model__max_depth"": null, ""model__max_features"": ""sqrt"", ""model__min_samples_leaf"": 5, ""model__n_estimators"": 120}",0.45,0.5375503435204927,197,53
standard_cv,eye_tobii_smooth_pursuit_native,eye,tobii,smooth_pursuit,signal_contrast,random_forest,20260909,3,4,"{""model__max_depth"": 8, ""model__max_features"": ""sqrt"", ""model__min_samples_leaf"": 8, ""model__n_estimators"": 160}",0.45,0.5440062388591801,200,50
standard_cv,eye_tobii_smooth_pursuit_native,eye,tobii,smooth_pursuit,signal_contrast,hist_gradient_boosting,20260909,3,0,"{""model__l2_regularization"": 0.0, ""model__learning_rate"": 0.03, ""model__max_iter"": 100, ""model__max_leaf_nodes"": 15}",0.25,0.4646246764452114,194,56
standard_cv,eye_tobii_smooth_pursuit_native,eye,tobii,smooth_pursuit,signal_contrast,hist_gradient_boosting,20260909,3,1,"{""model__l2_regularization"": 0.0, ""model__learning_rate"": 0.05, ""model__max_iter"": 50, ""model__max_leaf_nodes"": 7}",0.45,0.511005101076894,213,37
standard_cv,eye_tobii_smooth_pursuit_native,eye,tobii,smooth_pursuit,signal_contrast,hist_gradient_boosting,20260909,3,2,"{""model__l2_regularization"": 0.1, ""model__learning_rate"": 0.03, ""model__max_iter"": 50, ""model__max_leaf_nodes"": 15}",0.25,0.41806458975236793,196,54
standard_cv,eye_tobii_smooth_pursuit_native,eye,tobii,smooth_pursuit,signal_contrast,hist_gradient_boosting,20260909,3,3,"{""model__l2_regularization"": 0.0, ""model__learning_rate"": 0.03, ""model__max_iter"": 100, ""model__max_leaf_nodes"": 15}",0.45,0.509654110400379,197,53
standard_cv,eye_tobii_smooth_pursuit_native,eye,tobii,smooth_pursuit,signal_contrast,hist_gradient_boosting,20260909,3,4,"{""model__l2_regularization"": 0.0, ""model__learning_rate"": 0.05, ""model__max_iter"": 50, ""model__max_leaf_nodes"": 7}",0.55,0.5201091800356507,200,50
standard_cv,eye_qixin_120_free_viewing_native,eye,qixin_120,free_viewing,signal_absolute,logistic_regression,20260909,75,0,"{""model__C"": 1.0, ""model__penalty"": ""l1"", ""model__solver"": ""liblinear""}",0.65,0.5055731388468419,255,67
standard_cv,eye_qixin_120_free_viewing_native,eye,qixin_120,free_viewing,signal_absolute,logistic_regression,20260909,75,1,"{""model__C"": 1.0, ""model__penalty"": ""l1"", ""model__solver"": ""liblinear""}",0.45,0.5196829933740418,265,57
standard_cv,eye_qixin_120_free_viewing_native,eye,qixin_120,free_viewing,signal_absolute,logistic_regression,20260909,75,2,"{""model__C"": 1.0, ""model__penalty"": ""l2"", ""model__solver"": ""liblinear""}",0.35,0.48323471400394474,256,66
standard_cv,eye_qixin_120_free_viewing_native,eye,qixin_120,free_viewing,signal_absolute,logistic_regression,20260909,75,3,"{""model__C"": 0.3, ""model__penalty"": ""l1"", ""model__solver"": ""liblinear""}",0.8,0.43293656553926557,249,73
standard_cv,eye_qixin_120_free_viewing_native,eye,qixin_120,free_viewing,signal_absolute,logistic_regression,20260909,75,4,"{""model__C"": 1.0, ""model__penalty"": ""l2"", ""model__solver"": ""liblinear""}",0.75,0.44698462751281043,263,59
standard_cv,eye_qixin_120_free_viewing_native,eye,qixin_120,free_viewing,signal_absolute,random_forest,20260909,75,0,"{""model__max_depth"": 12, ""model__max_features"": 0.5, ""model__min_samples_leaf"": 5, ""model__n_estimators"": 160}",0.35,0.5240126599697261,255,67
standard_cv,eye_qixin_120_free_viewing_native,eye,qixin_120,free_viewing,signal_absolute,random_forest,20260909,75,1,"{""model__max_depth"": 8, ""model__max_features"": ""sqrt"", ""model__min_samples_leaf"": 8, ""model__n_estimators"": 160}",0.45,0.5264388722879043,265,57
standard_cv,eye_qixin_120_free_viewing_native,eye,qixin_120,free_viewing,signal_absolute,random_forest,20260909,75,2,"{""model__max_depth"": 8, ""model__max_features"": ""sqrt"", ""model__min_samples_leaf"": 8, ""model__n_estimators"": 160}",0.2,0.4424947289668776,256,66
standard_cv,eye_qixin_120_free_viewing_native,eye,qixin_120,free_viewing,signal_absolute,random_forest,20260909,75,3,"{""model__max_depth"": 8, ""model__max_features"": ""sqrt"", ""model__min_samples_leaf"": 8, ""model__n_estimators"": 160}",0.2,0.46501669327914064,249,73
standard_cv,eye_qixin_120_free_viewing_native,eye,qixin_120,free_viewing,signal_absolute,random_forest,20260909,75,4,"{""model__max_depth"": 8, ""model__max_features"": ""sqrt"", ""model__min_samples_leaf"": 8, ""model__n_estimators"": 160}",0.4,0.5053869399553278,263,59
standard_cv,eye_qixin_120_free_viewing_native,eye,qixin_120,free_viewing,signal_absolute,hist_gradient_boosting,20260909,75,0,"{""model__l2_regularization"": 0.0, ""model__learning_rate"": 0.03, ""model__max_iter"": 100, ""model__max_leaf_nodes"": 15}",0.4,0.5229117930370166,255,67
standard_cv,eye_qixin_120_free_viewing_native,eye,qixin_120,free_viewing,signal_absolute,hist_gradient_boosting,20260909,75,1,"{""model__l2_regularization"": 0.1, ""model__learning_rate"": 0.05, ""model__max_iter"": 100, ""model__max_leaf_nodes"": 7}",0.45,0.48168117448356507,265,57
standard_cv,eye_qixin_120_free_viewing_native,eye,qixin_120,free_viewing,signal_absolute,hist_gradient_boosting,20260909,75,2,"{""model__l2_regularization"": 0.1, ""model__learning_rate"": 0.03, ""model__max_iter"": 50, ""model__max_leaf_nodes"": 15}",0.55,0.4713323811467047,256,66
standard_cv,eye_qixin_120_free_viewing_native,eye,qixin_120,free_viewing,signal_absolute,hist_gradient_boosting,20260909,75,3,"{""model__l2_regularization"": 0.0, ""model__learning_rate"": 0.05, ""model__max_iter"": 50, ""model__max_leaf_nodes"": 7}",0.4,0.5116852953984613,249,73
standard_cv,eye_qixin_120_free_viewing_native,eye,qixin_120,free_viewing,signal_absolute,hist_gradient_boosting,20260909,75,4,"{""model__l2_regularization"": 0.1, ""model__learning_rate"": 0.05, ""model__max_iter"": 100, ""model__max_leaf_nodes"": 7}",0.3,0.47700696360530814,263,59
standard_cv,eye_qixin_120_saccade_native,eye,qixin_120,saccade,demographics_group_device,logistic_regression,20260909,8,0,"{""model__C"": 1.0, ""model__penalty"": ""l2"", ""model__solver"": ""liblinear""}",0.4,0.6456304112554112,256,66
standard_cv,eye_qixin_120_saccade_native,eye,qixin_120,saccade,demographics_group_device,logistic_regression,20260909,8,1,"{""model__C"": 1.0, ""model__penalty"": ""l2"", ""model__solver"": ""liblinear""}",0.35,0.6376727366653752,265,57
standard_cv,eye_qixin_120_saccade_native,eye,qixin_120,saccade,demographics_group_device,logistic_regression,20260909,8,2,"{""model__C"": 0.1, ""model__penalty"": ""l2"", ""model__solver"": ""liblinear""}",0.5,0.6351424879276337,256,66
standard_cv,eye_qixin_120_saccade_native,eye,qixin_120,saccade,demographics_group_device,logistic_regression,20260909,8,3,"{""model__C"": 1.0, ""model__penalty"": ""l2"", ""model__solver"": ""liblinear""}",0.55,0.6529220779220779,249,73
standard_cv,eye_qixin_120_saccade_native,eye,qixin_120,saccade,demographics_group_device,logistic_regression,20260909,8,4,"{""model__C"": 0.1, ""model__penalty"": ""l2"", ""model__solver"": ""liblinear""}",0.5,0.6657637420718816,262,60
standard_cv,eye_qixin_120_saccade_native,eye,qixin_120,saccade,demographics_group_device,random_forest,20260909,8,0,"{""model__max_depth"": 12, ""model__max_features"": 0.5, ""model__min_samples_leaf"": 5, ""model__n_estimators"": 160}",0.45,0.6376488095238095,256,66
standard_cv,eye_qixin_120_saccade_native,eye,qixin_120,saccade,demographics_group_device,random_forest,20260909,8,1,"{""model__max_depth"": null, ""model__max_features"": ""sqrt"", ""model__min_samples_leaf"": 5, ""model__n_estimators"": 120}",0.45,0.6345731628567739,265,57
standard_cv,eye_qixin_120_saccade_native,eye,qixin_120,saccade,demographics_group_device,random_forest,20260909,8,2,"{""model__max_depth"": 8, ""model__max_features"": ""sqrt"", ""model__min_samples_leaf"": 8, ""model__n_estimators"": 160}",0.4,0.6224580017683465,256,66
standard_cv,eye_qixin_120_saccade_native,eye,qixin_120,saccade,demographics_group_device,random_forest,20260909,8,3,"{""model__max_depth"": 12, ""model__max_features"": 0.5, ""model__min_samples_leaf"": 5, ""model__n_estimators"": 160}",0.55,0.6549062049062049,249,73
standard_cv,eye_qixin_120_saccade_native,eye,qixin_120,saccade,demographics_group_device,random_forest,20260909,8,4,"{""model__max_depth"": 8, ""model__max_features"": ""sqrt"", ""model__min_samples_leaf"": 8, ""model__n_estimators"": 160}",0.5,0.6594542811839323,262,60
standard_cv,eye_qixin_120_saccade_native,eye,qixin_120,saccade,demographics_group_device,hist_gradient_boosting,20260909,8,0,"{""model__l2_regularization"": 0.1, ""model__learning_rate"": 0.05, ""model__max_iter"": 100, ""model__max_leaf_nodes"": 7}",0.4,0.6144142316017316,256,66
standard_cv,eye_qixin_120_saccade_native,eye,qixin_120,saccade,demographics_group_device,hist_gradient_boosting,20260909,8,1,"{""model__l2_regularization"": 0.1, ""model__learning_rate"": 0.03, ""model__max_iter"": 50, ""model__max_leaf_nodes"": 15}",0.45,0.6388673640707737,265,57
standard_cv,eye_qixin_120_saccade_native,eye,qixin_120,saccade,demographics_group_device,hist_gradient_boosting,20260909,8,2,"{""model__l2_regularization"": 0.0, ""model__learning_rate"": 0.03, ""model__max_iter"": 100, ""model__max_leaf_nodes"": 15}",0.5,0.6283411548663538,256,66
standard_cv,eye_qixin_120_saccade_native,eye,qixin_120,saccade,demographics_group_device,hist_gradient_boosting,20260909,8,3,"{""model__l2_regularization"": 0.1, ""model__learning_rate"": 0.05, ""model__max_iter"": 100, ""model__max_leaf_nodes"": 7}",0.45,0.6549062049062049,249,73
standard_cv,eye_qixin_120_saccade_native,eye,qixin_120,saccade,demographics_group_device,hist_gradient_boosting,20260909,8,4,"{""model__l2_regularization"": 0.1, ""model__learning_rate"": 0.03, ""model__max_iter"": 50, ""model__max_leaf_nodes"": 15}",0.45,0.6518895348837209,262,60
standard_cv,eye_qixin_120_smooth_pursuit_native,eye,qixin_120,smooth_pursuit,demographics_group,logistic_regression,20260909,7,0,"{""model__C"": 1.0, ""model__penalty"": ""l2"", ""model__solver"": ""liblinear""}",0.35,0.6267482517482517,267,69
standard_cv,eye_qixin_120_smooth_pursuit_native,eye,qixin_120,smooth_pursuit,demographics_group,logistic_regression,20260909,7,1,"{""model__C"": 1.0, ""model__penalty"": ""l2"", ""model__solver"": ""liblinear""}",0.5,0.6423423423423424,275,61
standard_cv,eye_qixin_120_smooth_pursuit_native,eye,qixin_120,smooth_pursuit,demographics_group,logistic_regression,20260909,7,2,"{""model__C"": 1.0, ""model__penalty"": ""l1"", ""model__solver"": ""liblinear""}",0.5,0.6244897959183673,266,70
standard_cv,eye_qixin_120_smooth_pursuit_native,eye,qixin_120,smooth_pursuit,demographics_group,logistic_regression,20260909,7,3,"{""model__C"": 1.0, ""model__penalty"": ""l2"", ""model__solver"": ""liblinear""}",0.55,0.6290828325058793,261,75
standard_cv,eye_qixin_120_smooth_pursuit_native,eye,qixin_120,smooth_pursuit,demographics_group,logistic_regression,20260909,7,4,"{""model__C"": 0.3, ""model__penalty"": ""l1"", ""model__solver"": ""liblinear""}",0.5,0.6417821309125658,275,61
standard_cv,eye_qixin_120_smooth_pursuit_native,eye,qixin_120,smooth_pursuit,demographics_group,random_forest,20260909,7,0,"{""model__max_depth"": 12, ""model__max_features"": 0.5, ""model__min_samples_leaf"": 5, ""model__n_estimators"": 160}",0.35,0.6181318681318682,267,69
standard_cv,eye_qixin_120_smooth_pursuit_native,eye,qixin_120,smooth_pursuit,demographics_group,random_forest,20260909,7,1,"{""model__max_depth"": 12, ""model__max_features"": 0.5, ""model__min_samples_leaf"": 5, ""model__n_estimators"": 160}",0.45,0.6383783783783784,275,61
standard_cv,eye_qixin_120_smooth_pursuit_native,eye,qixin_120,smooth_pursuit,demographics_group,random_forest,20260909,7,2,"{""model__max_depth"": 12, ""model__max_features"": 0.5, ""model__min_samples_leaf"": 5, ""model__n_estimators"": 160}",0.45,0.6372684458398743,266,70
standard_cv,eye_qixin_120_smooth_pursuit_native,eye,qixin_120,smooth_pursuit,demographics_group,random_forest,20260909,7,3,"{""model__max_depth"": 8, ""model__max_features"": ""sqrt"", ""model__min_samples_leaf"": 8, ""model__n_estimators"": 160}",0.45,0.6122615625816566,261,75
standard_cv,eye_qixin_120_smooth_pursuit_native,eye,qixin_120,smooth_pursuit,demographics_group,random_forest,20260909,7,4,"{""model__max_depth"": null, ""model__max_features"": ""sqrt"", ""model__min_samples_leaf"": 5, ""model__n_estimators"": 120}",0.45,0.6215062111801242,275,61
standard_cv,eye_qixin_120_smooth_pursuit_native,eye,qixin_120,smooth_pursuit,demographics_group,hist_gradient_boosting,20260909,7,0,"{""model__l2_regularization"": 0.1, ""model__learning_rate"": 0.05, ""model__max_iter"": 100, ""model__max_leaf_nodes"": 7}",0.35,0.6035526973026974,267,69
standard_cv,eye_qixin_120_smooth_pursuit_native,eye,qixin_120,smooth_pursuit,demographics_group,hist_gradient_boosting,20260909,7,1,"{""model__l2_regularization"": 0.1, ""model__learning_rate"": 0.03, ""model__max_iter"": 50, ""model__max_leaf_nodes"": 15}",0.5,0.6503603603603604,275,61
standard_cv,eye_qixin_120_smooth_pursuit_native,eye,qixin_120,smooth_pursuit,demographics_group,hist_gradient_boosting,20260909,7,2,"{""model__l2_regularization"": 0.1, ""model__learning_rate"": 0.05, ""model__max_iter"": 100, ""model__max_leaf_nodes"": 7}",0.4,0.6375196232339089,266,70
standard_cv,eye_qixin_120_smooth_pursuit_native,eye,qixin_120,smooth_pursuit,demographics_group,hist_gradient_boosting,20260909,7,3,"{""model__l2_regularization"": 0.1, ""model__learning_rate"": 0.05, ""model__max_iter"": 100, ""model__max_leaf_nodes"": 7}",0.4,0.5851515547426182,261,75
standard_cv,eye_qixin_120_smooth_pursuit_native,eye,qixin_120,smooth_pursuit,demographics_group,hist_gradient_boosting,20260909,7,4,"{""model__l2_regularization"": 0.1, ""model__learning_rate"": 0.03, ""model__max_iter"": 50, ""model__max_leaf_nodes"": 15}",0.45,0.6149665551839466,275,61
standard_cv,eye_qixin_500_free_viewing_native,eye,qixin_500,free_viewing,fnirs_device_only,logistic_regression,20260909,1,0,"{""model__C"": 0.3, ""model__penalty"": ""l1"", ""model__solver"": ""liblinear""}",0.2,0.5,245,60
standard_cv,eye_qixin_500_free_viewing_native,eye,qixin_500,free_viewing,fnirs_device_only,logistic_regression,20260909,1,1,"{""model__C"": 0.3, ""model__penalty"": ""l1"", ""model__solver"": ""liblinear""}",0.2,0.5,238,67
standard_cv,eye_qixin_500_free_viewing_native,eye,qixin_500,free_viewing,fnirs_device_only,logistic_regression,20260909,1,2,"{""model__C"": 1.0, ""model__penalty"": ""l1"", ""model__solver"": ""liblinear""}",0.5,0.5122668579626972,249,56
standard_cv,eye_qixin_500_free_viewing_native,eye,qixin_500,free_viewing,fnirs_device_only,logistic_regression,20260909,1,3,"{""model__C"": 1.0, ""model__penalty"": ""l1"", ""model__solver"": ""liblinear""}",0.5,0.5130328441649197,249,56
standard_cv,eye_qixin_500_free_viewing_native,eye,qixin_500,free_viewing,fnirs_device_only,logistic_regression,20260909,1,4,"{""model__C"": 0.3, ""model__penalty"": ""l1"", ""model__solver"": ""liblinear""}",0.2,0.4724187236604455,239,66
standard_cv,eye_qixin_500_free_viewing_native,eye,qixin_500,free_viewing,fnirs_device_only,random_forest,20260909,1,0,"{""model__max_depth"": 12, ""model__max_features"": 0.5, ""model__min_samples_leaf"": 5, ""model__n_estimators"": 160}",0.2,0.4986609727851766,245,60
standard_cv,eye_qixin_500_free_viewing_native,eye,qixin_500,free_viewing,fnirs_device_only,random_forest,20260909,1,1,"{""model__max_depth"": 8, ""model__max_features"": ""sqrt"", ""model__min_samples_leaf"": 8, ""model__n_estimators"": 160}",0.2,0.4582987708317623,238,67
standard_cv,eye_qixin_500_free_viewing_native,eye,qixin_500,free_viewing,fnirs_device_only,random_forest,20260909,1,2,"{""model__max_depth"": 8, ""model__max_features"": ""sqrt"", ""model__min_samples_leaf"": 8, ""model__n_estimators"": 160}",0.5,0.5121592539454807,249,56
standard_cv,eye_qixin_500_free_viewing_native,eye,qixin_500,free_viewing,fnirs_device_only,random_forest,20260909,1,3,"{""model__max_depth"": 8, ""model__max_features"": ""sqrt"", ""model__min_samples_leaf"": 8, ""model__n_estimators"": 160}",0.5,0.5131376659678546,249,56
