id,category,citation,year,modality,model_or_method,key_result_or_claim,relevance_to_chongqing_dataset,url
11,EEG,"Resting-state EEG-based convolutional neural network for the diagnosis of depression and its severity",2022,"Resting EEG","CNN","Reported AUC 0.74 and accuracy 66.40% for depression diagnosis, showing moderate real-world performance.","Use as a caution that deep EEG models need rigorous QC and should not be oversold.","https://pmc.ncbi.nlm.nih.gov/articles/PMC9589234/"
12,EEG,"Analysis of EEG features and study of automatic classification in first-episode drug-naive MDD",2023,"EEG","Feature analysis + machine learning","Explored electrophysiological indicators for clinical MDD diagnosis.","Useful for feature interpretation and first-episode/drug-naive biomarker framing.","https://pmc.ncbi.nlm.nih.gov/articles/PMC10644563/"
13,fNIRS,"Li et al., fNIRS-Based characterization of adolescent depression using dynamic functional connectivity biomarkers in a verbal fluency task",2026,"fNIRS; adolescent VFT","Dynamic functional connectivity; random forest","Reported high accuracy for distinguishing adolescent MDD from healthy controls with VFT-related FC features.","Highly aligned with this cohort's age range and fNIRS task data.","https://link.springer.com/article/10.1186/s12888-026-07799-3"
14,fNIRS,"Kim et al., Classification of fNIRS signals from adolescents with MDD in suicide high- and low-risk groups",2023,"fNIRS; adolescent MDD","Random-search feature selection; machine learning","Highlights prefrontal fNIRS biomarkers in adolescent MDD suicide-risk stratification.","Supports extracting prefrontal HbO/HbR task-response and connectivity features.","https://www.sciencedirect.com/science/article/pii/S0165032723009692"
15,fNIRS,"Zhong et al., Soft fusion of channel information in depression detection using fNIRS",2025,"fNIRS","Phase-space reconstruction; multi-objective channel selection; soft channel fusion","Reported 96.1%, 91.3%, and 98.0% detection rates under positive/neutral/negative stimuli.","Supports channel selection and region-level aggregation rather than naive all-channel concatenation.","https://pure.bit.edu.cn/en/publications/soft-fusion-of-channel-information-in-depression-detection-using-"
16,fNIRS,"Zhu et al., Classifying Major Depressive Disorder Using fNIRS During Motor Rehabilitation",2020,"fNIRS","Machine-learning classification of cortical hemodynamic response","Shows fNIRS can classify MDD in a task context outside verbal fluency.","Supports task-agnostic fNIRS feature extraction and cross-task robustness checks.","https://ieeexplore.ieee.org/document/8986539"
17,fNIRS,"Identifying neuroimaging biomarkers of MDD from cortical hemodynamic responses using ML approaches",2022,"fNIRS","Supervised learning; feature selection","Focuses on fNIRS biomarker discovery for MDD from cortical hemodynamic responses.","Useful for interpreting channel-level importance and biomarker claims cautiously.","https://pmc.ncbi.nlm.nih.gov/articles/PMC9062667/"
18,Eye tracking,"Lagunes-Ramirez et al., Through the Youth Eyes: Training Depression Detection Algorithms with Eye Tracking Data",2025,"Eye tracking; youth","RF/SVM/MLP and other classifiers","Shows eye-tracking metrics can classify depression in a young sample.","Relevant to youth sample and fixation/saccade/blink/pupil feature design.","https://ieeexplore.ieee.org/document/10810399/"
19,Eye tracking,"Zhang et al., Effective differentiation between depressed patients and controls using discriminative eye movement features",2022,"Eye movement","Logistic regression and ML over basic eye-movement tasks","Reported abnormal eye movements in depressed patients over three basic paradigms.","Directly relevant because this dataset has smooth pursuit, saccade, and free-viewing tasks.","https://www.sciencedirect.com/science/article/abs/pii/S0165032722003251"
20,Eye tracking,"Zheng et al., Diagnosing and tracking depression based on eye movement in response to virtual reality",2024,"Eye movement","XGBoost, MLP, SVM, RF; five-fold CV","Fixation and saccade indices were emphasized as useful biomarkers for depression detection and tracking.","Use for eye-feature groups and evaluation metrics; VR is not identical but feature logic transfers.","https://www.frontiersin.org/journals/psychiatry/articles/10.3389/fpsyt.2024.1280935/full"
21,Face and eye,"Stolicyn et al., Prediction of depression symptoms in individual subjects with face and eye movement tracking",2022,"Face video; eye movement","Camera-based face/eye features; ML","Reported close to clinically relevant accuracy around 80% and identified mouth/eyelid/fixation differences.","Supports combining face motion with eye metrics and using cognitive-task windows.","https://www.cambridge.org/core/journals/psychological-medicine/article/prediction-of-depression-symptoms-in-individual-subjects-with-face-and-eye-movement-tracking/D3DD91C657FAB8C8676C0353750BC134"
22,Face video,"Pan et al., Spatial-Temporal Attention Network for Depression Recognition from Facial Videos",2024,"Facial video","STA-DRN; spatial-temporal attention","Captures global and local spatial-temporal facial information for depression recognition.","Use as v2 video deep-learning reference; v1 should start from OpenFace/MediaPipe statistics.","https://www.sciencedirect.com/science/article/abs/pii/S0957417423019127"
23,Face video,"Lage Canellas et al., Depression recognition from facial videos: Preprocessing and scheduling choices hide architectural contributions",2023,"Facial video","Deep learning with preprocessing/scheduling analysis","Argues preprocessing and training schedules can dominate apparent architecture gains.","Important warning for face-video experiments: report preprocessing, frame sampling, augmentation, and splits.","https://ietresearch.onlinelibrary.wiley.com/doi/full/10.1049/ell2.12992"
24,Face review,"Deep learning-based depression recognition through facial expression: A systematic review",2025,"Facial expression/video","Review of spatial and spatial-temporal DL methods from 2017-2024","Summarizes datasets, models, privacy, and future directions in facial-expression depression recognition.","Use to place this dataset's face-video work in the broader literature and ethics context.","https://www.sciencedirect.com/science/article/abs/pii/S0925231225002772"
25,Multimodal behavior,"Harnessing multimodal approaches for depression detection using LLMs",2024,"Text; audio; facial features","LLMs and multimodal depression severity prediction on E-DAIC","Shows transcript/audio/visual fusion and automation trends, while relying on PHQ-8 labels.","Use as broader multimodal mental-health context; avoid direct model transfer unless audio/text transcripts are added.","https://www.nature.com/articles/s44184-024-00112-8"
